sp	reverse_blocks	palindromes	close_palindromes	potentially_affected_genes	affected_genes
Avag1	19	19	19	636	636
Dpac1	3	1	1	2	2
Fcan1	16	15	6	152	54
Hduj1	1	1	0	8	0
Mare1	3	3	3	38	38
Minc1	1	1	1	26	26
Obir1	5	2	0	6	0
Pfor1	9	1	1	2	2
Rvar1	4	4	0	22	0
