code	AAA	AAB	ABC dupl
Pvir1	98.2	1.8	0.0434	2.18
Pdav1	94.3	5.05	0.662	3.7
Minc2	93.6	5.74	0.635	0.69
Mflo1	97.2	2.62	0.178	2.8
Ment1	93.9	5.15	0.913	3.47
